,O3,NO,NO2,PM25,M_DIR,M_SPED,M_T
O3,1.0,-0.4966860364265642,-0.6260131926380551,-0.21071000753591848,0.171285188680888,0.32969662074070083,0.30328916232862363
NO,-0.4966860364265642,1.0,0.6607197316791004,0.4295151963975965,-0.12725515654836037,-0.20020396194022028,-0.25901498811861884
NO2,-0.6260131926380551,0.6607197316791004,1.0,0.4362266384508778,-0.22437768896161378,-0.2605973643665636,-0.3593547125264797
PM25,-0.21071000753591848,0.4295151963975965,0.4362266384508778,1.0,-0.23401009230829897,-0.2224167880392924,-0.11824838209252406
M_DIR,0.171285188680888,-0.12725515654836037,-0.22437768896161378,-0.23401009230829897,1.0,0.19832042780453957,0.17680102545855242
M_SPED,0.32969662074070083,-0.20020396194022028,-0.2605973643665636,-0.2224167880392924,0.19832042780453957,1.0,0.23010469973743808
M_T,0.30328916232862363,-0.25901498811861884,-0.3593547125264797,-0.11824838209252406,0.17680102545855242,0.23010469973743808,1.0
