,O3,NO,NO2,PM25,M_DIR,M_SPED,M_T
O3,1.0,-0.4993620825256404,-0.6291056851779803,-0.19752232752998747,0.16744138056205504,0.32732342092260225,0.2989008328116059
NO,-0.4993620825256404,1.0,0.6613609976816038,0.4096438250844612,-0.12595225602554735,-0.1981489908294223,-0.25381183635213506
NO2,-0.6291056851779803,0.6613609976816038,1.0,0.41714889939288025,-0.22937403022201158,-0.26248064636125573,-0.35405699487271175
PM25,-0.19752232752998747,0.4096438250844612,0.41714889939288025,1.0,-0.24038971846661428,-0.22580534429592936,-0.11004718857940006
M_DIR,0.16744138056205504,-0.12595225602554735,-0.22937403022201158,-0.24038971846661428,1.0,0.1966835555452769,0.17600121026263085
M_SPED,0.32732342092260225,-0.1981489908294223,-0.26248064636125573,-0.22580534429592936,0.1966835555452769,1.0,0.22796559894863525
M_T,0.2989008328116059,-0.25381183635213506,-0.35405699487271175,-0.11004718857940006,0.17600121026263085,0.22796559894863525,1.0
